title,title_displayed,year,start_month,end_month,website,video,code,data,slides,report,description
JuiceFinder,JuiceFinder,2023,2,5,,https://www.bilibili.com/video/BV1As4y1M7sn/?share_source=copy_web&vd_source=fc4db60d95c76523968a150188ea4508,https://github.com/YichengShen/CIS550-JuiceFinder,https://github.com/YichengShen/CIS550-JuiceFinder/tree/main/datasets,https://github.com/YichengShen/CIS550-JuiceFinder/blob/main/slides.pdf,https://github.com/YichengShen/CIS550-JuiceFinder/blob/main/report.pdf,JuiceFinder 是一个集成数据库系统项目，它可以帮助用户快速寻找电车充电站和规划路线。同时，它还为用户提供了充电站附近的美食信息，使得 JuiceFinder 成为电车车主旅行途中的一站式解决方案。
Text-to-SQL,Text-to-SQL （文本转SQL）,2023,2,5,,,https://github.com/YichengShen/text-to-SQL-query-marksmen,https://yale-lily.github.io/spider,,https://github.com/YichengShen/text-to-SQL-query-marksmen/blob/main/report.pdf,Text-to-SQL 是一个深度学习项目，探索了多种针对文本到 SQL 任务的方法。本项目的目标是将自然语言问题转换为 SQL 语句。为实现这一目标，我们修改和微调了 T5 模型以及采用了 GPT-3.5-Turbo 模型。
Style Transfer of Images and Videos,图像和视频的风格迁移,2022,10,12,,,https://github.com/YichengShen/style-transfer-pytorch-implementations,https://cocodataset.org/#home,https://github.com/YichengShen/style-transfer-pytorch-implementations/blob/main/slides.pdf,https://github.com/YichengShen/style-transfer-pytorch-implementations/blob/main/report.pdf,在本项目中，我们使用 Pytorch 实现了两个版本的风格迁移算法，能够从现有的艺术风格中学习并创造出具有视觉吸引力的新图像。其中，第二个版本利用了 GPU，实现了高分辨率图像和视频的快速转换。
Brazilian E-Commerce Rating Prediction,电商平台买家评分预测,2022,10,12,,,https://www.kaggle.com/code/yichengs/brazilian-e-commerce-rating-prediction,https://www.kaggle.com/datasets/olistbr/brazilian-ecommerce,,,这是一个大数据项目，使用大型电子商务数据集预测客户对订单的评分。项目涵盖了详尽的探索性数据分析（EDA）、特征工程以及机器学习建模的过程。
Automating Stock Trading with Reinforcement Learning,使用强化学习自动化股票交易,2022,9,12,,,https://github.com/yicheng-past/rl-auto-stock-trading,,,https://github.com/yicheng-past/rl-auto-stock-trading/blob/main/results/report.pdf,这个项目尝试使用强化学习解决自动股票交易问题。项目利用深度强化学习库模拟股票市场环境，并训练智能体（agent）来最大化股票投资组合的回报。
Kaggle: Google Landmark Recognition 2021,Kaggle竞赛：谷歌地标识别 2021,2021,8,10,,,,https://www.kaggle.com/c/landmark-recognition-2021/data,,,这是一个关于在图像中标注地标的机器学习竞赛项目。获得了银牌，排名前 10% 。
Kaggle: Google Smartphone Decimeter Challenge,Kaggle竞赛：谷歌智能手机分米级精度挑战,2021,5,8,,,,https://www.kaggle.com/c/google-smartphone-decimeter-challenge/data,,,这是一个关于提高 GPS 定位精度的竞赛项目。获得了铜牌，排名10% 。
GoGreen,GoGreen,2021,1,5,https://yichengshen.github.io/go-green/#/,https://youtu.be/TNegBiqt9k0,https://github.com/YichengShen/go-green,,,,GoGreen 是一个以数据为核心的网页应用程序，用户可以在其中进行每日签到打卡，记录自己的出行方式，并查看全球各城市用户的环保表现。该项目旨在提高人们对环境问题的认识并推广环保出行方式。
AlphaGame,AlphaGame,2020,9,12,,,https://github.com/ZQZCalin/DQN-model-trained-on-Round-based-games,,,,AlphaGame 是一个强化学习项目。在该项目中，AI 智能体接受了两种算法（DQN 和遗传算法）的训练，能够在三个游戏（贪吃蛇、PONG和Flappy Bird）中做出较为明智的决策。
CarSpeech,CarSpeech,2020,10,11,https://yichengshen.github.io/car_speech/,,https://github.com/YichengShen/car_speech,http://www.isle.illinois.edu/sst/AVICAR/,,,CarSpeech 是一个自然语言处理（NLP）语音识别项目。在该项目中，我们使用 TensorFlow 构建了一个卷积神经网络模型，对从车辆中记录的 AVICAR 数据集中的重要单词进行分类。
Student Evaluation System,学生互评软件,2020,1,5,,,https://github.com/YichengShen/EaglesPeerEvaluationSystem,,,,这是一个软件工程项目，采用了 Django 框架。它让学生能够在线填写评分表格，给一起完成项目的队友打分。最终，它为老师汇总所有打分的结果。
