country,city,lng,lat,year,month,show,purpose,memorable,familiar,current
中国,苏州,120.61642,31.30401,1998,5,TRUE,,TRUE,TRUE,
中国,上海,121.46667,31.16667,2002,11,TRUE,,,,
中国,南京,118.76667,32.05,2003,11,,,,,
中国,杭州,120.15507,30.2741,2005,1,TRUE,,TRUE,,
中国,海南,109.6500979,19.17952398,2005,5,TRUE,,,,
中国,扬州,119.43625,32.39117,2006,8,,,,,
新加坡共和国,新加坡,103.8080526,1.351616122,2010,1,TRUE,,,,
美国,波士顿，马萨诸塞州,-71.0596,42.3605,2011,7,TRUE,,TRUE,TRUE,
美国,纽约,-73.9866,40.7306,2011,7,TRUE,,,,
美国,旧金山,-122.463,37.7648,2011,8,TRUE,,,,
美国,洛杉矶,-118.2439,34.0544,2011,8,TRUE,,,,
中国,贵阳,106.70786,26.57942,2012,8,TRUE,,,,
美国,波基普西，纽约州,-73.9284,41.7066,2013,9,,,TRUE,TRUE,
美国,华盛顿特区,-77.0366,38.895,2014,11,TRUE,,,,
美国,哈特福德,-72.690855,41.764582,2015,3,,,,,
加拿大,蒙特利尔,-73.610364,45.497216,2015,11,TRUE,,,,
美国,波士顿，马萨诸塞州,-71.0596,42.3605,2017,8,TRUE,,TRUE,TRUE,
美国,普罗威斯顿，马萨诸塞州,-70.178638,42.058436,2017,11,,,,,
泰国,曼谷,100.51667,13.75,2018,6,TRUE,,,,
泰国,芭堤雅,100.87194,12.92306,2018,6,,,,,
加拿大,多伦多,-79.383935,43.653482,2018,11,TRUE,,,,
英国,百慕大,-64.7370104,32.31792032,2019,3,TRUE,,TRUE,,
中国,北京,116.39139,39.905,2019,7,TRUE,,,,
美国,奥兰多,-81.379,28.5421,2019,11,TRUE,,,,
中国,黎里,120.718198,30.99007,2022,1,,,,,
中国,乌镇,120.4818082,30.7473083,2022,1,,,,,
中国,广州,113.25898,23.1288,2022,5,TRUE,,,,
中国,潮州,116.63,23.67,2022,5,,,,,
中国,南澳岛,117.111604,23.433648,2022,5,TRUE,,TRUE,,
中国,三明,117.63017,26.2658,2022,5,,,,,
中国,汕头,116.69411,23.37347,2022,5,,,,,
中国,泉州,118.59479,24.89744,2022,5,,,,,
中国,石狮,118.643593,24.733499,2022,5,,,,,
中国,福州,119.29167,26.07694,2022,5,TRUE,,,,
中国,永泰,118.936,25.86816,2022,5,,,,,
中国,霞浦,119.99893,26.88578,2022,5,,,,,
中国,宁德,119.527082,26.65924,2022,5,,,,,
中国,景宁畲族自治县,119.633823,27.997116,2022,5,,,,,
中国,丽水,119.90796,28.449594,2022,5,,,,,
中国,桐庐,119.687686,29.796563,2022,5,,,,,
美国,波士顿，马萨诸塞州,-71.0596,42.3605,2022,8,TRUE,Traveling to UPenn,TRUE,TRUE,
美国,波基普西，纽约州,-73.9284,41.7066,2022,8,,Traveling to UPenn,TRUE,TRUE,
美国,费城，宾夕法尼亚州,-75.163526,39.952724,2022,8,TRUE,To study at Upenn,,TRUE,TRUE
中国,杭州,120.15507,30.2741,2022,8,TRUE,Traveling to UPenn,TRUE,,
中国,大连,121.61,38.91306,2022,8,TRUE,Traveling to UPenn,,,
美国,贵格镇， 宾夕法尼亚州,-75.341567,40.441768,2022,8,,Purchased my first car: Jeep 2022 Wrangler,,,
美国,纽瓦克，特拉华州,-75.65082,39.68115,2022,9,,Shopping at Christiana Mall,,,
美国,肯尼特广场，宾夕法尼亚州,-75.67468114,39.87421058,2022,12,,Visiting Longwood Gardens,,,
墨西哥,坎昆,-86.76262869,21.10720158,2023,1,TRUE,Winter break vacation,,,
美国,阿斯伯里帕克，新泽西州,-74.012082,40.220391,2023,5,,Visiting Asbury Park beach,,,
