year,month,day,type,description
2022,8,31,life,开始在宾夕法尼亚大学（UPenn）攻读研究生。
2022,3,23,achievement,被宾夕法尼亚大学计算机与信息科学硕士专业录取。
2021,10,,achievement,在Google Landmark Recognition 2021（Kaggle竞赛）中获得银牌。
2021,5,24,achievement,以优秀毕业生、院长荣誉名单等荣誉毕业于波士顿学院。
2021,5,,achievement,在波士顿学院完成计算机科学荣誉论文。
2021,5,12,achievement,我的项目GoGreen被Schiller Institute评为杰出项目，并在波士顿学院计算机科学系的官网展示。
2021,3,,achievement,获得NSF参会奖金并参加IEEE PerCom '21。
2021,2,,work,开始担任软件工程课程的助教。
2020,9,25,achievement,在MobiCom '20举行的ACM学生研究竞赛中获得认可。
2020,2,,work,开始在Lewis Tseng教授带领的科研组担任研究助理（RA）。
2020,1,,work,开始担任算法课程的助教。
2019,9,,work,开始担任计算机组织课程的助教。
2019,7,,work,在上海德勤税务咨询有限公司北京分公司担任暑期分析师实习生。
2018,9,,work,开始担任计算机科学I课程的助教。
2017,8,,life,开始在波士顿学院（Boston College）攻读本科。
2017,6,10,achievement,以年级第一名的成绩从Oakwood Friends School毕业。
2016,12,,life,在高中篮球校队获得MVP奖。
2013,9,,life,开始在位于美国纽约州的Oakwood Friends School上高中。
